title,titleUrl,time,year,weekday,hour,date,author,type
MILLA JASMINE : ELLE NOUS DIT TOUT SUR SA COLOCATION AVEC ILLAN ! 🤫🔞,https://www.youtube.com/watch?v=Uezm2I8oT9M,2021-09-15 19:39:29.901000+00:00,2021,2,19,2021-09-15,GossipRoom,Entertainment
"Le jeu de la scolarité #6 (les participants galèrent, mais c'est drôle)",https://www.youtube.com/watch?v=1Lzx4hm0_yI,2021-09-15 10:43:57.066000+00:00,2021,2,10,2021-09-15,Pierre Croce,Comedy
Ariana Grande - The Voice premiere,https://www.youtube.com/watch?v=IvIIwAXBAPw,2021-09-15 10:41:46.093000+00:00,2021,2,10,2021-09-15,butera grande,People & Blogs
Ariana Grande Reveals Why Pete Davidson Was Toxic,https://www.youtube.com/watch?v=sOE1aS79bls,2021-09-15 10:29:15.186000+00:00,2021,2,10,2021-09-15,PopJuice,Entertainment
LES 3 FOIS OÙ J'AI FAILLI MOURIR ! 💀- HENRY,https://www.youtube.com/watch?v=BQkQyipVkvY,2021-09-14 18:56:07.919000+00:00,2021,1,18,2021-09-14,Henry Tran,Entertainment
On Part Vivre au Canada ! 👀 *pour au moins 2 mois*,https://www.youtube.com/watch?v=BUyZVq1S45I,2021-09-13 13:33:26.491000+00:00,2021,0,13,2021-09-13,Marie,People & Blogs
JE ME TRANSFORME EN HOMME (et je ressemble à Justin Bieffleur),https://www.youtube.com/watch?v=5Oo00-c4GI0,2021-09-13 13:17:45.130000+00:00,2021,0,13,2021-09-13,gaelle garcia diaz,Entertainment
ON REFAIT LA CHAMBRE DE BÉBÉ EN MODE PINTEREST  👶🏻,https://www.youtube.com/watch?v=X81F8vNxCQM,2021-09-13 13:13:02.001000+00:00,2021,0,13,2021-09-13,Domi & Yani,People & Blogs
LES QUESTIONS QUE J'ÉVITE...,https://www.youtube.com/watch?v=r6r1afEWuEc,2021-09-13 13:04:53.995000+00:00,2021,0,13,2021-09-13,Anthonin,Entertainment
JE REPRENDS MA VIE EN MAIN,https://www.youtube.com/watch?v=A0GadUq2qaw,2021-09-13 07:45:04.107000+00:00,2021,0,7,2021-09-13,style tonic,Howto & Style
Je SHOOT à PO!L pour CLARA MORGANE,https://www.youtube.com/watch?v=-ReiGIGuVuI,2021-09-13 07:37:43.588000+00:00,2021,0,7,2021-09-13,Bastos,People & Blogs
BLACKPINK - 'You Never Know' The Show Live Performance,https://www.youtube.com/watch?v=k8ZWKWfzbAE,2021-09-12 21:11:39.266000+00:00,2021,6,21,2021-09-12,Hoang Vu,People & Blogs
DOUBLE DATE avec PAGA (EX de VIVI) et GIU,https://www.youtube.com/watch?v=PlZ7qQlgWl0,2021-09-12 20:55:42.034000+00:00,2021,6,20,2021-09-12,Bastos,People & Blogs
JE RÈGLE MES COMPTES AVEC BEH... aka LE MOTIF | Océane,https://www.youtube.com/watch?v=EOr9Vz6B-Vw,2021-09-12 17:12:54.949000+00:00,2021,6,17,2021-09-12,Océane,People & Blogs
HOME TOUR - NOTRE MAISON A DUBAI ! ❤️,https://www.youtube.com/watch?v=ystTiTlcBk4,2021-09-12 17:04:06.299000+00:00,2021,6,17,2021-09-12,LaulauBabyShow,Entertainment
MA VIE CETTE GALÈRE 3,https://www.youtube.com/watch?v=tYcqyLTGDw4,2021-09-12 12:58:24.117000+00:00,2021,6,12,2021-09-12,AnnaRvr,Howto & Style
MA VIE CETTE GALÈRE 3,https://www.youtube.com/watch?v=tYcqyLTGDw4,2021-09-11 10:14:43.431000+00:00,2021,5,10,2021-09-11,AnnaRvr,Howto & Style
ON REFAIT LA CHAMBRE DE BÉBÉ EN MODE PINTEREST  👶🏻,https://www.youtube.com/watch?v=X81F8vNxCQM,2021-09-10 11:29:46.487000+00:00,2021,4,11,2021-09-10,Domi & Yani,People & Blogs
LISA - 'LALISA' M/V,https://www.youtube.com/watch?v=awkkyBH2zEo,2021-09-10 10:37:28.390000+00:00,2021,4,10,2021-09-10,BLACKPINK,Music
Nevertheless (Official Trailer) | WEBTOON,https://www.youtube.com/watch?v=1_cZCkKeJlQ,2021-09-08 10:03:56.697000+00:00,2021,2,10,2021-09-08,WEBTOON,Film & Animation
ON SE RELOOK AVEC @gaelle garcia diaz ! ( 3 tenues chacun),https://www.youtube.com/watch?v=s0lrDSKqXpU,2021-09-08 00:02:45.006000+00:00,2021,2,0,2021-09-08,JOYCA,Entertainment
"""RAJEUNIR MON VAGIN"" ? Je vous explique tout",https://www.youtube.com/watch?v=qIEt1ylDQ8k,2021-09-07 20:52:32.157000+00:00,2021,1,20,2021-09-07,Shera Kerienski,Howto & Style
Song Kang and Han So-hee try to make each other feel butterflies [ENG SUB],https://www.youtube.com/watch?v=czSwJIE3xbY,2021-09-07 20:50:15.511000+00:00,2021,1,20,2021-09-07,The Swoon,Entertainment
"EXCLU - « Tchoin à Buzz » : Gaëlle G.Diaz répond à Kevin G, Kim veut appeler son avocat !",https://www.youtube.com/watch?v=OTByX1i_6nE,2021-09-07 20:05:13.736000+00:00,2021,1,20,2021-09-07,sam zirah,People & Blogs
BIENVENUS CHEZ LES FOUS * ibiza*,https://www.youtube.com/watch?v=SxrRaCspBEQ,2021-09-06 13:21:50.294000+00:00,2021,0,13,2021-09-06,Léna Situations,People & Blogs
je sui a laeropor bisouuuu je m'anvol,https://www.youtube.com/watch?v=TYCDyBNXv-k,2021-09-06 13:04:49.373000+00:00,2021,0,13,2021-09-06,Léna Situations,People & Blogs
VIVI rencontre MES PARENTS,https://www.youtube.com/watch?v=y0bj52EsnU4,2021-09-05 16:43:12.872000+00:00,2021,6,16,2021-09-05,Bastos,People & Blogs
MON COMING OUT (ou comment j'ai pécho ma crush),https://www.youtube.com/watch?v=RDPo0_1mfdg,2021-09-05 02:09:22.495000+00:00,2021,6,2,2021-09-05,Esile,Entertainment
MON COMING OUT (ou comment j'ai pécho ma crush),https://www.youtube.com/watch?v=RDPo0_1mfdg,2021-09-04 13:29:03.542000+00:00,2021,5,13,2021-09-04,Esile,Entertainment
Je design un poster pour le nouveau studio !,https://www.youtube.com/watch?v=KYLKiBHDJBk,2021-09-04 12:04:01.816000+00:00,2021,5,12,2021-09-04,BALO,Entertainment
Deux pauvres filles dans les travaux (et adoption de bébés),https://www.youtube.com/watch?v=elWwnLyNLjg,2021-09-04 11:28:49.677000+00:00,2021,5,11,2021-09-04,So Andy,Howto & Style
NORMAN - LES MESSAGES VOCAUX,https://www.youtube.com/watch?v=VYGyE0LG9zM,2021-09-04 11:25:44.946000+00:00,2021,5,11,2021-09-04,NORMAN FAIT DES VIDÉOS,Comedy
Un son par jour #26 Saison 2 | Soulja,https://www.youtube.com/watch?v=6v03DETLo9c,2021-09-04 10:55:15.625000+00:00,2021,5,10,2021-09-04,Le Motif,People & Blogs
ON BALANCE SUR LES YOUTUBEURS EN RENTRANT DE SOIRÉE FT. ANTHONIN // LUCASDORABLE //,https://www.youtube.com/watch?v=iHJjLy11Jec,2021-09-04 10:00:03.080000+00:00,2021,5,10,2021-09-04,Lucas Dorable,Entertainment
je fais une crise de nerfs pendant 11 minutes,https://www.youtube.com/watch?v=IIJ5jzXn-Yo,2021-09-04 09:42:26.094000+00:00,2021,5,9,2021-09-04,AnnaRvr,Howto & Style
Avec VIVI et PAPA pour MON ENTREE dans le CROSS,https://www.youtube.com/watch?v=AKWrUY1j2qY,2021-09-02 23:35:29.056000+00:00,2021,3,23,2021-09-02,Bastos,People & Blogs
Avec VIVI et PAPA pour MON ENTREE dans le CROSS,https://www.youtube.com/watch?v=AKWrUY1j2qY,2021-09-02 17:02:56.456000+00:00,2021,3,17,2021-09-02,Bastos,People & Blogs
Afterlife of the Party | Official Trailer | Netflix,https://www.youtube.com/watch?v=kFIbSnJ9tQM,2021-09-02 08:12:46.633000+00:00,2021,3,8,2021-09-02,Netflix,Entertainment
On délocalise le bureau..⎢VLOG,https://www.youtube.com/watch?v=RB0gXWLVNi8,2021-09-01 22:29:31.938000+00:00,2021,2,22,2021-09-01,Sam et Léa,Travel & Events
Vous vous rappelez de cet endroit ?,https://www.youtube.com/watch?v=NySFCwVYlCk,2021-09-01 22:25:13.165000+00:00,2021,2,22,2021-09-01,Cyprien,Comedy
https://www.youtube.com/watch?v=gEjFhy8a9lE,https://www.youtube.com/watch?v=gEjFhy8a9lE,2021-09-01 10:28:58.106000+00:00,2021,2,10,2021-09-01,,
DÉCOUVREZ TOUT CE QUI VOUS ATTEND DANS LA NOUVELLE SAISON DES « MARSEILLAIS VS LE RESTE DU MONDE 6 »,https://www.youtube.com/watch?v=KrPDacCRrUw,2021-09-01 10:23:40.371000+00:00,2021,2,10,2021-09-01,Actus Influenceurs,Entertainment
[FULL ENGSUB] True Beauty EP 173 - full episode 여신강림 《suho's story》,https://www.youtube.com/watch?v=74i7hc7nieo,2021-08-31 22:41:56.204000+00:00,2021,1,22,2021-08-31,alydramaland,People & Blogs
[ENG SUB] True Beauty Webtoon EP 173 - English Sub,https://www.youtube.com/watch?v=DVv8zAjlVfw,2021-08-31 22:39:15.010000+00:00,2021,1,22,2021-08-31,berinioo,People & Blogs
Jessi Reads Thirst Tweets,https://www.youtube.com/watch?v=f7XywiHWPYg,2021-08-31 22:30:26.442000+00:00,2021,1,22,2021-08-31,BuzzFeed Celeb,Entertainment
HYBE LANCE UN NOUVEAU GIRLGROUP ? - KB NEWS #2,https://www.youtube.com/watch?v=N1zI1bUxGXA,2021-08-31 21:53:51.505000+00:00,2021,1,21,2021-08-31,KBE,People & Blogs
HAUL IVY PARK X ADIDAS | Océane,https://www.youtube.com/watch?v=R0NjVEI-_uE,2021-08-31 21:44:50.114000+00:00,2021,1,21,2021-08-31,Océane,People & Blogs
BLACKPINK - 'Blame Me' M/V,https://www.youtube.com/watch?v=4PAmLXFXKOs,2021-08-31 21:42:39.773000+00:00,2021,1,21,2021-08-31,KV OFFICIAL,Entertainment
J'ai EMMÉNAGÉ dans ma MAISON 🥺🏡 (du coup on fait l'apéro),https://www.youtube.com/watch?v=Qb4SXon0NCA,2021-08-30 19:58:44.841000+00:00,2021,0,19,2021-08-30,Horia,Howto & Style
Intelligence Artificielle VS Machine Learning VS Deep Learning - Les différences entre ces termes,https://www.youtube.com/watch?v=SfOoRsUj9kQ,2021-08-29 09:56:48.661000+00:00,2021,6,9,2021-08-29,Computer Scientists,Science & Technology
CHITCHAT MAKEUP (avec une surprise...) FEAT NABILLA,https://www.youtube.com/watch?v=uOr2WpbkDc8,2021-08-29 09:30:11.927000+00:00,2021,6,9,2021-08-29,gaelle garcia diaz,Entertainment
Les OFF du RDM !!! (la VÉRITÉ ENFIN),https://www.youtube.com/watch?v=qRY7QVH-kkA,2021-08-27 16:26:57.879000+00:00,2021,4,16,2021-08-27,Bastos,People & Blogs
"LA VÉRITÉ SUR OGEE : relations amoureuses, enfance, tromperies !",https://www.youtube.com/watch?v=i53gYZtWnO0,2021-08-26 11:23:33.080000+00:00,2021,3,11,2021-08-26,tonydsts,Entertainment
MES POTES ME TRANSFORMENT EN ALIEN mdrr 👽,https://www.youtube.com/watch?v=h-yrVHlPGc4,2021-08-23 17:38:35.177000+00:00,2021,0,17,2021-08-23,Léna Situations,People & Blogs
Olivia Rodrigo - brutal (Official Video),https://www.youtube.com/watch?v=OGUy2UmRxJ0,2021-08-23 17:37:29.053000+00:00,2021,0,17,2021-08-23,OliviaRodrigoVEVO,Music
JE TRANSFORME JOYCA!,https://www.youtube.com/watch?v=ScrMHU6Up-4,2021-08-22 14:12:58.663000+00:00,2021,6,14,2021-08-22,gaelle garcia diaz,Entertainment
Victoria (LMvsMonde6) : Bastos est-il vraiment son homme idéal ?,https://www.youtube.com/watch?v=CeGbcwjdTGg,2021-08-22 14:06:58.888000+00:00,2021,6,14,2021-08-22,VDBUZZ,Entertainment
Bilal Hassani - Baby (Official Music Video),https://www.youtube.com/watch?v=OU8GZL3iQ2Y,2021-08-20 19:22:46.917000+00:00,2021,4,19,2021-08-20,Bilal Hassani,Music
AMOUR GLOIRE ET EXCÈS: TEXAS (ep. 1),https://www.youtube.com/watch?v=NS0HhTqHUdI,2021-08-20 14:36:26.838000+00:00,2021,4,14,2021-08-20,Anthonin,Entertainment
"On casse, on détapisse et on avance !",https://www.youtube.com/watch?v=YSJyM55Jdh8,2021-08-20 07:26:31.476000+00:00,2021,4,7,2021-08-20,So Andy,Howto & Style
Jessi & Jackson(GOT7) - NUNU NANA I KBS WORLD TV 201218,https://www.youtube.com/watch?v=_ZNF4NDCrTM,2021-08-20 07:24:24.239000+00:00,2021,4,7,2021-08-20,KBS WORLD TV,Music
"parlons de la vie, mon couple, le succès etc... ( bref un chitchat makeup)",https://www.youtube.com/watch?v=uAHYDl5mZQ8,2021-08-18 08:45:25.493000+00:00,2021,2,8,2021-08-18,Léna Situations,People & Blogs
il n'aurait pas dû survivre à ça,https://www.youtube.com/watch?v=aW2expJrXwQ,2021-08-16 23:07:00.599000+00:00,2021,0,23,2021-08-16,SQUEEZIE,Entertainment
ON PART EN MISSION INCOGNITO feat. Bilal & Marcus,https://www.youtube.com/watch?v=WKdAnueYb-8,2021-08-16 19:03:42.464000+00:00,2021,0,19,2021-08-16,Léna Situations,People & Blogs
Jessi(제시) - Can't Take My Eyes Off Of You [SketchBook / Lyrics],https://www.youtube.com/watch?v=BllHdyavST4,2021-08-16 16:00:21.093000+00:00,2021,0,16,2021-08-16,KBS WORLD TV,Music
Henry (헨리) - Thinking Out Loud | Begin Again 3 (비긴어게인 3),https://www.youtube.com/watch?v=ImBUs4Z3Fvg,2021-08-16 15:56:25.786000+00:00,2021,0,15,2021-08-16,So Hyang TV • Fan Channel,Music
PAPA ? ON VA VOIR MESSI !,https://www.youtube.com/watch?v=Z4a8LVy93Yk,2021-08-16 15:42:13.077000+00:00,2021,0,15,2021-08-16,Léna Situations,People & Blogs
Kim Go Eun (김고은) - Please Don’t Go Away From My Side (내 곁에서 떠나가지 말아요) | Begin Again 3 (비긴어게인 3),https://www.youtube.com/watch?v=agWCJ8_y6Hw,2021-08-16 15:40:19.456000+00:00,2021,0,15,2021-08-16,So Hyang TV • Fan Channel,Music
MAKEUP MISTAKES TO AVOID FOR SMALL EYES,https://www.youtube.com/watch?v=uvfSQpCSO0U,2021-08-15 23:10:34.242000+00:00,2021,6,23,2021-08-15,Asianndra,Howto & Style
VIVI m’envoie à l’HÔPITAL!!! (ça ne va plus..),https://www.youtube.com/watch?v=2kuNuJtiJTc,2021-08-15 23:04:43.192000+00:00,2021,6,23,2021-08-15,Bastos,People & Blogs
구멍 없는 본업 천재들♨ 온유x이수현x로제(ROSÉ)의 〈If I Ain't Got You〉♬ 바라던 바다 (sea of hope) 5회 | JTBC 210727 방송,https://www.youtube.com/watch?v=V1gTGrL53aE,2021-08-15 23:02:15.813000+00:00,2021,6,23,2021-08-15,바라던 바다,Entertainment
Lee Suhyun (이수현) & Kim Go Eun (김고은) - I’ll Never Love Again (Practice Ver.) | Begin Again 3,https://www.youtube.com/watch?v=0cv3S9gO78Q,2021-08-15 22:59:19.350000+00:00,2021,6,22,2021-08-15,So Hyang TV • Fan Channel,Music
Un son par jour #10 Saison 2 | Vivo (Ft. Ohio),https://www.youtube.com/watch?v=9MWDHujSWvk,2021-08-15 22:48:27.883000+00:00,2021,6,22,2021-08-15,Le Motif,People & Blogs
1 SEMAINE EN VACANCES AVEC NOUS,https://www.youtube.com/watch?v=Vcm0mo6LI2Q,2021-08-15 22:28:43.187000+00:00,2021,6,22,2021-08-15,AnnaRvr,Howto & Style
"KYLIE COSMETICS, ÇA DIT QUOI?",https://www.youtube.com/watch?v=rhZu0sfgVfk,2021-08-15 12:43:46.354000+00:00,2021,6,12,2021-08-15,gaelle garcia diaz,Entertainment
Le prisonnier qui a passé un message codé en pleine interview - HDG #21,https://www.youtube.com/watch?v=p50v8afkeX8,2021-08-15 12:42:39.090000+00:00,2021,6,12,2021-08-15,Mamytwink,Entertainment
"[4K][special] 마마무(MAMAMOO)의 킬링보이스를 라이브로! /Mr.애매모호,너나 해,데칼코마니,별빛밤,I miss you,HIP,고고베베,딩가딩가,AYA | 딩고뮤직",https://www.youtube.com/watch?v=WvkTcNQsxzc,2021-08-15 05:48:07.141000+00:00,2021,6,5,2021-08-15,딩고 뮤직 / dingo music,Music
"LE SCANDALE ""LES ANGES"": GROSSE MISE À JOUR. [1/2]",https://www.youtube.com/watch?v=D21BIjBvY_I,2021-08-15 05:47:13.040000+00:00,2021,6,5,2021-08-15,Angele Salentino,People & Blogs
Je fais un ASK en étant ÉNERVÉE 👊 - Horia,https://www.youtube.com/watch?v=sy10blyqF9c,2021-08-14 21:20:32.884000+00:00,2021,5,21,2021-08-14,Horia,Howto & Style
c’est sa première fois wesh !,https://www.youtube.com/watch?v=TCzCVQXHF-A,2021-08-14 20:58:14.609000+00:00,2021,5,20,2021-08-14,Léna Situations,People & Blogs
J'AI ACHETÉ LA MEILLEURE CHOSE,https://www.youtube.com/watch?v=azzaXn7edFM,2021-08-14 20:25:54.250000+00:00,2021,5,20,2021-08-14,Léna Situations,People & Blogs
"Google, Amazon, Facebook & Apple ENVAHISSENT le jeu vidéo ? (c'était mon mémoire et j'ai dead ça)",https://www.youtube.com/watch?v=o5cXeHYEbq8,2021-08-14 20:21:50.282000+00:00,2021,5,20,2021-08-14,Henry Tran,Entertainment
Première nuit dans ma nouvelle maison et début des travaux !,https://www.youtube.com/watch?v=QsWaWaCSexY,2021-08-14 20:08:18.016000+00:00,2021,5,20,2021-08-14,So Andy,People & Blogs
"VLOG IBIZA (outfits, big house etc...)",https://www.youtube.com/watch?v=XsOPuyFIA8I,2021-08-14 17:52:28.161000+00:00,2021,5,17,2021-08-14,Mai Lee,People & Blogs
On fait le ménage au FESTIVAL de CANNES !!,https://www.youtube.com/watch?v=rxayb4StwrY,2021-08-14 17:25:40.092000+00:00,2021,5,17,2021-08-14,Natoo,Comedy
ON VOUS DÉVOILE ENFIN NOTRE FUTURE CUISINE (elle est ouf) - EP64,https://www.youtube.com/watch?v=_cCxej5KnQg,2021-08-14 17:23:38.126000+00:00,2021,5,17,2021-08-14,Rachel & Emilien - Rénovation,Howto & Style
TIMELAPSE 2 ANS DE RÉNOVATION - D'UNE USINE ABANDONNÉE À LA MAISON DE NOS RÊVES,https://www.youtube.com/watch?v=eYblN2Jg8iQ,2021-08-14 16:56:54.386000+00:00,2021,5,16,2021-08-14,Rachel & Emilien - Rénovation,Howto & Style
on a pas les mêmes vacances qu’eux,https://www.youtube.com/watch?v=efibkS_ClF0,2021-08-13 07:56:23.496000+00:00,2021,4,7,2021-08-13,SQUEEZIE,Entertainment
ON M'A VOLÉ MON SAC À 6000€ | Océane,https://www.youtube.com/watch?v=RmFzL5wdj78,2021-08-13 07:31:28.737000+00:00,2021,4,7,2021-08-13,Océane,People & Blogs
ON LUI FAIT VIVRE LES PIRES VACANCES DE SA LIFE,https://www.youtube.com/watch?v=a42h18TzQNc,2021-08-13 07:01:09.798000+00:00,2021,4,7,2021-08-13,Léna Situations,People & Blogs
j'avais juste besoin d'être SEULE :),https://www.youtube.com/watch?v=JRugnsNV-ZA,2021-08-13 06:52:40.313000+00:00,2021,4,6,2021-08-13,Léna Situations,People & Blogs
